player,start,end,no play,react,serve,smash,backhand,lob,forehand,shuttle
pb,2100,2115,0,1,0,0,0,0,0,3
pb,2106,2128,0,1,0,0,0,0,0,3
pt ,2120,2128,0,1,0,0,0,0,0,3
pb,2129,2157,1,0,0,0,0,0,0,2
pt,2129,2157,1,0,0,0,0,0,0,2
pb,2158,2164,0,1,0,0,0,0,0,3
pb,2165,2194,0,0,0,0,0,1,0,1
pt,2158,2168,0,0,1,0,0,0,0,2
pt,2167,2179,0,1,0,0,0,0,0,3
pt,2180,2208,0,0,0,0,0,1,0,1
pb,2195,2224,0,0,0,0,0,1,0,1
pt,2209,2240,0,1,0,0,0,0,0,3
pt,2241,2265,0,0,0,1,0,0,0,0
pb,2225,2255,0,1,0,0,0,0,0,3
pb,2256,2283,0,0,0,0,1,0,0,2
pt,2266,2277,0,1,0,0,0,0,0,3
pt,2278,2305,0,0,0,1,0,0,0,0
pb,2284,2292,0,1,0,0,0,0,0,3
pb,2293,2310,0,0,0,0,0,0,1,1
pb,2311,2322,0,1,0,0,0,0,0,3
pb,2323,2335,0,0,0,0,1,0,0,2
pt,2306,2310,0,1,0,0,0,0,0,3
pt,2311,2332,0,0,0,0,0,0,1,1
pt,2333,2346,0,0,0,0,0,0,1,1
pb,2336,2346,0,1,0,0,0,0,0,3
pb,2347,2356,0,0,0,0,0,0,1,1
pt,2347,2355,0,1,0,0,0,0,0,3
pt,2356,2380,0,0,0,0,0,0,1,1
pb,2357,2371,0,1,0,0,0,0,0,3
pb,2372,2402,0,0,0,0,0,1,0,1
pb,2403,2427,0,1,0,0,0,0,0,3
pb,2428,2451,0,0,0,1,0,0,0,0
pt,2381,2392,0,1,0,0,0,0,0,3
pt,2393,2431,0,0,0,0,0,0,1,1
pt,2432,2459,0,1,0,0,0,0,0,3
pt,2460,2480,0,0,0,0,0,1,0,1
pb,2452,2479,0,1,0,0,0,0,0,3
pb,2480,2513,0,0,0,0,0,1,0,1
pt,2481,2499,0,1,0,0,0,0,0,3
pt,2500,2532,0,0,0,0,0,1,0,1
pt,2525,2571,0,1,0,0,0,0,0,3
pt,2572,2595,0,0,0,0,0,0,1,1
pb,2514,2535,0,1,0,0,0,0,0,3
pb,2536,2567,0,0,0,1,0,0,0,0
pb,2568,2599,0,1,0,0,0,0,0,3
pb,2600,2625,0,0,0,1,0,0,0,0
pt,2596,2613,0,1,0,0,0,0,0,3
pt,2614,2644,0,0,0,0,0,0,1,1
pb,2626,2636,0,1,0,0,0,0,0,3
pb,2637,2669,0,0,0,0,0,1,0,1
pb,2670,2685,0,1,0,0,0,0,0,3
pb,2686,2719,0,0,0,0,0,1,0,1
pt,2645,2665,0,1,0,0,0,0,0,3
pt,2666,2696,0,0,0,0,0,1,0,1
pt,2697,2717,0,1,0,0,0,0,0,3
pt,2718,2761,0,0,0,1,0,0,0,0
pb,2720,2793,1,0,0,0,0,0,0,2
pt,2762,2793,1,0,0,0,0,0,0,2
pt,2794,2806,0,0,1,0,0,0,0,2
pb,2794,2800,0,1,0,0,0,0,0,3
pb,2801,2823,0,0,0,0,0,1,0,2
pt,2807,2811,0,1,0,0,0,0,0,3
pt,2812,2850,0,0,0,0,0,1,0,1
pt,2851,2882,0,1,0,0,0,0,0,3
pt,2883,2904,0,0,0,0,1,0,0,2
pt,2905,2932,0,1,0,0,0,0,0,3
pt,2933,2967,0,0,0,0,0,1,0,1
pt,2968,2992,0,1,0,0,0,0,0,3
pt,2993,3034,0,0,0,1,0,0,0,0
pt,3035,3070,0,1,0,0,0,0,0,3
pb,2824,2852,0,1,0,0,0,0,0,3
pb,2853,2892,0,0,0,0,1,0,0,2
pb,2893,2908,0,1,0,0,0,0,0,3
pb,2909,2939,0,0,0,0,0,1,0,1
pb,2940,2962,0,1,0,0,0,0,0,3
pb,2963,2985,0,0,0,0,1,0,0,2
pb,2986,3023,0,1,0,0,0,0,0,3
pb,3024,3034,0,0,0,0,1,0,0,2
pb,3035,3069,1,0,0,0,0,0,0,2
